Season,Round,Race,SOFT,MEDIUM,HARD
2022,1,Bahrain Grand Prix,C3,C2,C1
2022,2,Saudi Arabian Grand Prix,C4,C3,C2
2022,3,Australian Grand Prix,C5,C3,C2
2022,4,Emilia Romagna Grand Prix,C4,C3,C2
2022,5,Miami Grand Prix,C4,C3,C2
2022,6,Spanish Grand Prix,C3,C2,C1
2022,7,Monaco Grand Prix,C5,C4,C3
2022,8,Azerbaijan Grand Prix,C5,C4,C3
2022,9,Canadian Grand Prix,C5,C4,C3
2022,10,British Grand Prix,C3,C2,C1
2022,11,Austrian Grand Prix,C5,C4,C3
2022,12,French Grand Prix,C4,C3,C2
2022,13,Hungarian Grand Prix,C4,C3,C2
2022,14,Belgian Grand Prix,C4,C3,C2
2022,15,Dutch Grand Prix,C3,C2,C1
2022,16,Italian Grand Prix,C4,C3,C2
2022,17,Singapore Grand Prix,C5,C4,C3
2022,18,Japanese Grand Prix,C3,C2,C1
2022,19,United States Grand Prix,C4,C3,C2
2022,20,Mexico City Grand Prix,C4,C3,C2
2022,21,São Paulo Grand Prix,C4,C3,C2
2022,22,Abu Dhabi Grand Prix,C3,C4,C5
2023,1,Bahrain Grand Prix,C3,C2,C1
2023,2,Saudi Arabian Grand Prix,C4,C3,C2
2023,3,Australian Grand Prix,C4,C3,C2
2023,4,Azerbaijan Grand Prix,C5,C4,C3
2023,5,Miami Grand Prix,C4,C3,C2
2023,6,Monaco Grand Prix,C5,C4,C3
2023,7,Spanish Grand Prix,C3,C2,C1
2023,8,Canadian Grand Prix,C5,C4,C3
2023,9,Austrian Grand Prix,C5,C4,C3
2023,10,British Grand Prix,C3,C2,C1
2023,11,Hungarian Grand Prix,NA,NA,NA
2023,12,Belgian Grand Prix,NA,NA,NA
2023,13,Dutch Grand Prix,NA,NA,NA
2023,14,Italian Grand Prix,NA,NA,NA
2023,15,Singapore Grand Prix,NA,NA,NA
2023,16,Japanese Grand Prix,NA,NA,NA
2023,17,Qatar Grand Prix,NA,NA,NA
2023,18,United States Grand Prix,NA,NA,NA
2023,19,Mexico City Grand Prix,NA,NA,NA
2023,20,São Paulo Grand Prix,NA,NA,NA
2023,21,Las Vegas Grand Prix,NA,NA,NA
2023,22,Abu Dhabi Grand Prix,NA,NA,NA
